"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Class"
"a",70,0.415,"u","g","i","v",0.335,"f","f",0,"t","s","00144",0,"-"
"b",58,11.5,"u","g","i","v",0.5,"t","f",0,"t","g","00100",68,"-"
"a",83,0.83,"u","g","q","v",0.415,"f","t",1,"t","g","00200",11,"-"
"a",53,5,"y","p","ff","ff",0,"f","f",0,"f","g","00000",0,"-"
"b",103,3.25,"u","g","c","h",2.29,"f","t",1,"t","g","00416",21,"-"
"a",227,1.665,"u","g","aa","v",0.25,"f","f",0,"f","g","00000",390,"-"
"a",3,0.375,"u","g","c","v",1,"f","f",0,"f","g","00120",18,"-"
"a",134,3.75,"u","g","c","v",0.25,"f","t",1,"t","g","00040",154,"-"
"b",67,9,"u","g","aa","v",0.085,"f","f",0,"f","g","00000",0,"-"
"b",145,3.5,"u","g","c","v",0.165,"f","f",0,"f","g","00216",0,"-"
"a",82,1.5,"u","g","w","v",0.875,"f","f",0,"t","g","00160",0,"-"
"b",169,4,"y","p","cc","v",1.5,"f","f",0,"t","g","00120",0,"-"
"b",159,1.5,"y","p","w","v",0.04,"f","f",0,"f","s","00160",0,"-"
"b",166,0.04,"y","p","m","v",0.04,"f","f",0,"f","g","00000",0,"-"
"a",61,11.75,"u","g","c","v",0.25,"f","f",0,"t","g","00180",0,"-"
"a",21,0.54,"u","g","c","v",1.75,"f","t",1,"t","g","00080",5,"-"
"b",151,0.5,"u","g","d","h",0.085,"f","f",0,"t","s","00252",0,"-"
"b",301,2.04,"y","p","ff","ff",1.5,"f","f",0,"f","g","00120",1,"-"
"b",276,5.835,"u","g","w","v",5.5,"f","f",0,"f","g","00465",150,"-"
"b",105,12.835,"u","g","cc","v",0.5,"f","f",0,"f","g","00000",2,"-"
"a",296,0.835,"u","g","aa","v",0.5,"f","f",0,"t","g","00240",117,"-"
NA,141,2,"y","p","e","h",2,"f","f",0,"f","g","00256",17,"-"
"a",215,2.5,"u","g","i","h",0.21,"f","f",0,"f","g","00260",246,"-"
"a",249,1.04,"u","g","aa","v",0.665,"f","f",0,"f","g","00240",237,"-"
"a",154,10.665,"u","g","q","h",0.085,"f","t",12,"t","g","00129",3,"-"
"b",37,7.25,"u","g","m","v",0.04,"f","t",1,"f","g","00100",1,"-"
"a",21,10.21,"u","g","ff","ff",0,"f","f",0,"f","g","00000",50,"-"
"a",43,1.25,"u","g","c","v",0,"f","f",0,"f","g","00000",0,"-"
"b",38,0.29,"u","g","k","v",0.29,"f","f",0,"f","g","00280",364,"-"
"b",126,1,"y","p","d","h",3,"f","f",0,"f","g","00176",537,"-"
"b",13,3.29,"u","g","i","v",0.335,"f","f",0,"t","g","00140",2,"-"
"b",209,0.75,"y","p","d","v",0.585,"f","f",0,"f","g","00240",3,"-"
"b",241,3.29,"u","g","m","v",3.5,"f","f",0,"t","s","00400",0,"-"
"b",53,10.085,"y","p","e","h",1.25,"f","f",0,"f","g","00260",0,"-"
"a",72,0.75,"u","g","c","v",2,"f","t",2,"t","g","00200",394,"-"
"a",98,13.5,"y","p","ff","ff",2,"f","t",1,"t","g","00200",1,"-"
"b",21,0.205,"u","g","aa","v",0.04,"f","f",0,"f","g","00280",750,"-"
"b",198,3.375,"u","g","c","h",8.29,"f","f",0,"t","g","00000",0,"-"
